1+1,2
2+5,7
какой язык мы изучаем,go
бит в байте,8
Стетхем,JSON
побеждает всегда и везде,спанчбоб
столица Канады,Оттава
3+4,7
язык программирования,Python
2*2,4
столица Франции,Париж
любимый напиток,кофе
количество континентов,7
Тесла,Элон
высота Эвереста,8848
столица Японии,Токио
самый быстрый автомобиль,Бугатти
программист,Linus
5*5,25
столица Австралии,Канберра
Эйфелева башня,Франция
любимый спорт,футбол
9+10,19
основатель Microsoft,Билл
столица России,Москва
самый большой океан,Тихий
язык Китая,китайский
8/4,2
самая высокая гора,Эверест
столица США,Вашингтон
любимый цвет,синий
основатель Apple,Стив
сумма углов треугольника,180
крупнейшая страна,Россия
язык Индии,хинди
7-3,4
столица Германии,Берлин
популярный фильм,Титаник
скорость света,299792
создатель Facebook,Марк
самый большой остров,Гренландия
столица Италии,Рим
любимая еда,пицца
12/3,4
язык Франции,французский
столица Испании,Мадрид
самый высокий водопад,Анхель
национальная валюта Японии,иена
столица Великобритании,Лондон
любимая книга,Гарри
6*7,42
основатель Amazon,Джефф
самая длинная река,Амазонка
столица Китая,Пекин
популярный сериал,Игра
язык Германии,немецкий
15-5,10
столица Бразилии,Бразилиа
самая маленькая страна,Ватикан
4+6,10
известный художник,Пикассо
число пальцев,10
столица Турции,Анкара
язык Японии,японский
7*8,56
самая большая пустыня,Сахара
столица Индии,Дели
любимый фрукт,яблоко
основатель Tesla,Элон
число дней в году,365
столица Египта,Каир
популярная соцсеть,Инстаграм
3*3,9
самый длинный день,солнцестояние
столица Швеции,Стокгольм
любимое животное,кот
язык Испании,испанский
20/4,5
крупнейший штат,Аляска
столица Кении,Найроби
популярная книга,Война
число недель в году,52
столица Норвегии,Осло
основатель SpaceX,Элон
самый большой материк,Евразия
столица Аргентины,Буэнос-Айрес
популярный напиток,чай
2+8,10
крупнейший город,Токио
столица Мексики,Мехико
известный актёр,ДиКаприо
число планет,8
столица Перу,Лима
популярная опера,Кармен
9*9,81
крупнейший остров,Гренландия
столица Финляндии,Хельсинки
любимое время года,лето
